,stat,mean,SD,var,SE,bias,RMSE,true
0,iw,0.6428234595963879,0.03260442966995341,0.0010630488341029382,0.001458114422192537,0.0006198141411988267,0.03261032050858391,0.642203645455189
1,dm,0.21781111374874268,0.009297235918922755,8.643859573210744e-05,0.00041578503035128003,0.42439253170644636,0.42449435751719855,0.642203645455189
2,dm_iw,0.6218440283076953,0.01673354440679475,0.00028001150841417186,0.0007483468559620891,0.02035961714749379,0.026353852067709068,0.642203645455189
3,dm_log,0.42050685091136464,0.013192647747301079,0.00017404595458436823,0.0005899931433234936,0.2216967945438244,0.222088979162837,0.642203645455189
4,dm_log_iw,0.6014722512710141,0.014842874556426838,0.0002203109250978232,0.0006637935297934489,0.04073139418417493,0.043351555880780955,0.642203645455189
5,dr,0.6258616875340394,0.024238389904031366,0.0005874995451398496,0.0010839737498111747,0.016341957921149675,0.02923284341004955,0.642203645455189
6,dr_log,0.6001883445547839,0.017602623120768556,0.00030985234073181576,0.0007872132376069596,0.04201530090040517,0.04555368097622193,0.642203645455189
7,dm_rf,0.19415636339571046,0.024996604376914963,0.0006248302303760043,0.0011178821318690126,0.4480472820594786,0.4487440219003056,0.642203645455189
8,dr_rf,0.48595773126112174,0.02186054059949414,0.0004778832353021316,0.0009776330961072579,0.1562459141940673,0.1577677690076207,0.642203645455189
