,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.0052183516650258464,0.0011180727092269757,1.2500865831181493e-06,0.0001581193589108019,9.415445960095272e-05,0.0011220301445954545
1,dm,0.005323848125729102,0.0007072544935029144,5.002089185800639e-07,0.00010002088967611355,0.0001996509203042087,0.0007348941478596639
2,dm_iw,0.005612095426772441,0.0012049974027541382,1.4520187406442186e-06,0.00017041236695992568,0.00048789822134754756,0.0013000243901705535
3,dm_log,0.005322783293040487,0.0006964172200161186,4.849969443349789e-07,9.848826776169625e-05,0.00019858608761559333,0.0007241777257893582
4,dm_log_iw,0.005390553481474504,0.0011555610944880919,1.3353214430945167e-06,0.0001634210171975757,0.00026635627604960996,0.0011858613362807362
5,dr,0.004994148170696898,0.0024865597772734858,6.182979525954367e-06,0.0003516526560671586,0.0001300490347279958,0.002489958288282767
6,dr_log,0.004783333234396638,0.002306142617038466,5.318293770121025e-06,0.00032613781657823813,0.0003408639710282555,0.002331197549944272
7,dm_rf,0.0,0.0,0.0,0.0,0.005124197205424894,0.005124197205424894
8,dr_rf,0.0052183516650258464,0.0011180727092269757,1.2500865831181493e-06,0.0001581193589108019,9.415445960095272e-05,0.0011220301445954545
